patient_id,login_email,temporary_password
P1038,p1038@epilepsycare.in,Epi-DrpcUC!
P1039,p1039@epilepsycare.in,Epi-iGtYMM!
P1040,p1040@epilepsycare.in,Epi-OxKUMd!
P1041,p1041@epilepsycare.in,Epi-2nQq7M!
P1042,p1042@epilepsycare.in,Epi-xSurnk!
P1043,p1043@epilepsycare.in,Epi-uD2Nir!
P1044,p1044@epilepsycare.in,Epi-0pme7d!
P1045,p1045@epilepsycare.in,Epi-IJoCjC!
P1046,p1046@epilepsycare.in,Epi-5qy4dO!
P1047,p1047@epilepsycare.in,Epi-tBg3QB!
P1048,p1048@epilepsycare.in,Epi-hp2e6X!
P1049,p1049@epilepsycare.in,Epi-0XGIQO!
P1050,p1050@epilepsycare.in,Epi-VITkfH!
P1051,p1051@epilepsycare.in,Epi-DKuOLq!
P1052,p1052@epilepsycare.in,Epi-oroTid!
P1053,p1053@epilepsycare.in,Epi-EUMJkR!
P1054,p1054@epilepsycare.in,Epi-nSzGcX!
P1055,p1055@epilepsycare.in,Epi-grIhqa!
P1056,p1056@epilepsycare.in,Epi-2hH7yd!
P1057,p1057@epilepsycare.in,Epi-NLfanh!
P1058,p1058@epilepsycare.in,Epi-cagUU2!
P1059,p1059@epilepsycare.in,Epi-s7nqQt!
P1060,p1060@epilepsycare.in,Epi-kk8rXi!
P1061,p1061@epilepsycare.in,Epi-oFYyGN!
P1062,p1062@epilepsycare.in,Epi-unYoC4!
P1063,p1063@epilepsycare.in,Epi-InbPay!
P1064,p1064@epilepsycare.in,Epi-yXh5nL!
P1065,p1065@epilepsycare.in,Epi-rw5Np0!
P1066,p1066@epilepsycare.in,Epi-XNIBzA!
P1067,p1067@epilepsycare.in,Epi-DjUIBv!
P1068,p1068@epilepsycare.in,Epi-6egB1C!
P1069,p1069@epilepsycare.in,Epi-0WYWb7!
P1070,p1070@epilepsycare.in,Epi-RTv5T3!
P1071,p1071@epilepsycare.in,Epi-WiIiTJ!
P1072,p1072@epilepsycare.in,Epi-sYN1Tn!
P1073,p1073@epilepsycare.in,Epi-oqJOWy!
P1074,p1074@epilepsycare.in,Epi-k3BLKr!
P1075,p1075@epilepsycare.in,Epi-FUndO3!
P1076,p1076@epilepsycare.in,Epi-h0JyeD!
P1077,p1077@epilepsycare.in,Epi-GJ3aPU!
P1078,p1078@epilepsycare.in,Epi-vtZ6Vv!
P1079,p1079@epilepsycare.in,Epi-T9gzQG!
P1080,p1080@epilepsycare.in,Epi-GEufhY!
P1081,p1081@epilepsycare.in,Epi-aNozXF!
P1082,p1082@epilepsycare.in,Epi-09gMGY!
P1083,p1083@epilepsycare.in,Epi-MzkxiT!
P1084,p1084@epilepsycare.in,Epi-X8glHs!
P1085,p1085@epilepsycare.in,Epi-6MbmHh!
P1086,p1086@epilepsycare.in,Epi-JEwKPY!
P1087,p1087@epilepsycare.in,Epi-hxgagg!
P1088,p1088@epilepsycare.in,Epi-UCDkJw!
P1089,p1089@epilepsycare.in,Epi-8ENaKF!
P1090,p1090@epilepsycare.in,Epi-9T9J7i!
P1091,p1091@epilepsycare.in,Epi-Yf3aA2!
P1092,p1092@epilepsycare.in,Epi-jYSHQ4!
P1093,p1093@epilepsycare.in,Epi-qWhiew!
P1094,p1094@epilepsycare.in,Epi-XiLtCj!
P1095,p1095@epilepsycare.in,Epi-0YWErj!
P1096,p1096@epilepsycare.in,Epi-q97Dvd!
P1097,p1097@epilepsycare.in,Epi-LoA3tK!
P1098,p1098@epilepsycare.in,Epi-p0Xg7Z!
P1099,p1099@epilepsycare.in,Epi-NjA4va!
P1100,p1100@epilepsycare.in,Epi-kM5ojE!
P1101,p1101@epilepsycare.in,Epi-76lBnc!
P1102,p1102@epilepsycare.in,Epi-fYlytZ!
P1103,p1103@epilepsycare.in,Epi-mMI3Da!
P1104,p1104@epilepsycare.in,Epi-3Pa0ON!
P1105,p1105@epilepsycare.in,Epi-3iBFin!
P1106,p1106@epilepsycare.in,Epi-9rtCbD!
P1107,p1107@epilepsycare.in,Epi-8jXrw7!
P1108,p1108@epilepsycare.in,Epi-YBfMYT!
P1109,p1109@epilepsycare.in,Epi-ChIGOs!
P1110,p1110@epilepsycare.in,Epi-yEzF4R!
P1111,p1111@epilepsycare.in,Epi-xNzCKD!
P1112,p1112@epilepsycare.in,Epi-4U83qV!
P1113,p1113@epilepsycare.in,Epi-k1Nzfy!
P1114,p1114@epilepsycare.in,Epi-wsOXgN!
P1115,p1115@epilepsycare.in,Epi-Ed53IX!
P1116,p1116@epilepsycare.in,Epi-E6ddu2!
P1117,p1117@epilepsycare.in,Epi-ORBCJz!
P1118,p1118@epilepsycare.in,Epi-JUqogX!
P1119,p1119@epilepsycare.in,Epi-bziW0O!
P1120,p1120@epilepsycare.in,Epi-tFTT7i!
P1121,p1121@epilepsycare.in,Epi-Yd3RXg!
P1122,p1122@epilepsycare.in,Epi-Loe7au!
P1123,p1123@epilepsycare.in,Epi-Wmg3js!
P1124,p1124@epilepsycare.in,Epi-3lK59v!
P1125,p1125@epilepsycare.in,Epi-sZXPss!
P1126,p1126@epilepsycare.in,Epi-MNTWLQ!
P1127,p1127@epilepsycare.in,Epi-Poz6Pf!
P1128,p1128@epilepsycare.in,Epi-cDn9tM!
P1129,p1129@epilepsycare.in,Epi-edhV0c!
P1130,p1130@epilepsycare.in,Epi-Pmgw1Z!
P1131,p1131@epilepsycare.in,Epi-7EURvg!
P1132,p1132@epilepsycare.in,Epi-8TScXn!
P1133,p1133@epilepsycare.in,Epi-IbvxVI!
P1134,p1134@epilepsycare.in,Epi-QigPoo!
P1135,p1135@epilepsycare.in,Epi-nde717!
P1136,p1136@epilepsycare.in,Epi-7yIDSS!
P1137,p1137@epilepsycare.in,Epi-jG1KVy!
P1138,p1138@epilepsycare.in,Epi-dgv8zz!
P1139,p1139@epilepsycare.in,Epi-6NsV1O!
P1140,p1140@epilepsycare.in,Epi-OxgNbZ!
P1141,p1141@epilepsycare.in,Epi-mBtBPY!
P1142,p1142@epilepsycare.in,Epi-BCqwnN!
P1143,p1143@epilepsycare.in,Epi-DCGZWJ!
P1144,p1144@epilepsycare.in,Epi-KWPunZ!
P1145,p1145@epilepsycare.in,Epi-g4Reqi!
P1146,p1146@epilepsycare.in,Epi-SxUjnm!
P1147,p1147@epilepsycare.in,Epi-it3m4Y!
P1148,p1148@epilepsycare.in,Epi-7p24cC!
P1149,p1149@epilepsycare.in,Epi-NEOkk9!
P1150,p1150@epilepsycare.in,Epi-FtUfn1!
P1151,p1151@epilepsycare.in,Epi-8iXloC!
P1152,p1152@epilepsycare.in,Epi-KO8NNG!
P1153,p1153@epilepsycare.in,Epi-nDEJLk!
P1154,p1154@epilepsycare.in,Epi-CbPehs!
P1155,p1155@epilepsycare.in,Epi-aYIqCu!
P1156,p1156@epilepsycare.in,Epi-GxjK1d!
P1157,p1157@epilepsycare.in,Epi-NxWLsb!
P1158,p1158@epilepsycare.in,Epi-KCtJIj!
P1159,p1159@epilepsycare.in,Epi-pY7pUi!
P1160,p1160@epilepsycare.in,Epi-CZW8aw!
P1161,p1161@epilepsycare.in,Epi-VcOl7d!
P1162,p1162@epilepsycare.in,Epi-dIYXjB!
P1163,p1163@epilepsycare.in,Epi-IQsYf7!
P1164,p1164@epilepsycare.in,Epi-RvFiYE!
P1165,p1165@epilepsycare.in,Epi-RF79ht!
P1166,p1166@epilepsycare.in,Epi-nGgUxS!
P1167,p1167@epilepsycare.in,Epi-lBahQZ!
P1168,p1168@epilepsycare.in,Epi-nPjN8n!
P1169,p1169@epilepsycare.in,Epi-eNcoQF!
P1170,p1170@epilepsycare.in,Epi-vLzmfO!
P1171,p1171@epilepsycare.in,Epi-RpiQKA!
P1172,p1172@epilepsycare.in,Epi-hBG0Sf!
P1173,p1173@epilepsycare.in,Epi-7TQQMj!
P1174,p1174@epilepsycare.in,Epi-9lDsdX!
P1175,p1175@epilepsycare.in,Epi-H46J8k!
P1176,p1176@epilepsycare.in,Epi-G4kh4W!
P1177,p1177@epilepsycare.in,Epi-Y5rAEY!
P1178,p1178@epilepsycare.in,Epi-rAiWvm!
P1179,p1179@epilepsycare.in,Epi-E3JN8u!
P1180,p1180@epilepsycare.in,Epi-FsTaCf!
P1181,p1181@epilepsycare.in,Epi-JPSJ2s!
P1182,p1182@epilepsycare.in,Epi-0m7UAO!
P1183,p1183@epilepsycare.in,Epi-Y4HnDv!
P1184,p1184@epilepsycare.in,Epi-op4GRS!
P1185,p1185@epilepsycare.in,Epi-aTtbKZ!
P1186,p1186@epilepsycare.in,Epi-Q9lFzG!
P1187,p1187@epilepsycare.in,Epi-SFQ0Io!
P1188,p1188@epilepsycare.in,Epi-IRcJtB!
P1189,p1189@epilepsycare.in,Epi-0xFO0z!
P1190,p1190@epilepsycare.in,Epi-oVkkKY!
P1191,p1191@epilepsycare.in,Epi-3LAKoQ!
P1192,p1192@epilepsycare.in,Epi-LaUgt5!
P1193,p1193@epilepsycare.in,Epi-aDn9mI!
P1194,p1194@epilepsycare.in,Epi-FiD9VO!
P1195,p1195@epilepsycare.in,Epi-8oTCZz!
P1196,p1196@epilepsycare.in,Epi-61QBVy!
P1197,p1197@epilepsycare.in,Epi-dX5zO7!
P1198,p1198@epilepsycare.in,Epi-073J03!
P1199,p1199@epilepsycare.in,Epi-DJgfyJ!
P1200,p1200@epilepsycare.in,Epi-1CTrtn!
P1201,p1201@epilepsycare.in,Epi-fdi339!
P1202,p1202@epilepsycare.in,Epi-1RXISC!
P1203,p1203@epilepsycare.in,Epi-o1H5WA!
P1204,p1204@epilepsycare.in,Epi-SuRQTq!
P1205,p1205@epilepsycare.in,Epi-y6QtUf!
P1206,p1206@epilepsycare.in,Epi-kQUDLA!
P1207,p1207@epilepsycare.in,Epi-d48U70!
P1208,p1208@epilepsycare.in,Epi-6VZkmS!
P1209,p1209@epilepsycare.in,Epi-6gzL2W!
P1210,p1210@epilepsycare.in,Epi-hJL1DD!
P1211,p1211@epilepsycare.in,Epi-CepmA7!
